, -0.00000000005
2067.212842239588, 1909.391126818463
-840.5952758253204, 7546.596549384469
-1769.3457293102051, 2674.509703672758
1006.512458697255, 19090.716124065024
-12530.624017037486, -2540.759736513279
-4369.4254687231605, 531.220990835481
-4623.500050759105, -4238.058581977129
-14825.680198509383, -8236.200789726916
41614.152856240056, -11761.592081314002
32610.128988098943, -896.7942356102774
33929.873224406874, 4419.331694799512
-21371.90149672557, 23590.718136106287
26651.18467256237, -51692.935342225086
-41342.703265254146, 17496.695164497825
-19625.42493478344, -19218.79241111744
-85891.40629680033, 22426.973383438686
-6932.673745122177, -38744.71983051871
-25122.887130114137, -29847.770715071612
-28868.754015110226, -72319.15806359019
-3565.4200192983817, -17389.27258047386
24188.19980319464, 6162.886023781643
-2311.2181852737567, -8326.213887614867
8731.458116706444, -21289.08345122113
-14412.444867868364, -11837.892718736593
40367.68384049368, 63830.09990608916
-23030.165184920297, 15609.665683952298
-28.013953007326677, 18499.24819246314
-31874.321417250227, -24874.212925905413
40296.31416285578, 56427.821592908025
33751.3783728277, -59372.70741902073
66240.035292184, -36227.809347932336
-12468.218421315416, -15128.014372872596
68429.30903449244, 19507.145406708914
83463.22127398613, -7365.749710631011
45105.85725418963, -33448.24693535788
-40626.729806392395, 51015.842475029436
-7509.615053178026, 80684.9954091347
64256.467254910756, 16840.525343075577
29954.6034224414, -33700.436411150535
37481.73598770712, -18964.006252235125
4049.340977511415, 22720.68918510062
108627.03093805799, 3774.7534497057977
59331.25392358362, -39274.57969795517
29519.311145437034, -58576.291957356545
23615.4490115946, 4083.1649049013567
59120.02536300101, 32407.84018040944
36162.76846881985, -17106.044767157407
-35816.58692738068, -81476.74830176351
-60956.78621744435, -27603.681507254267
13051.722978962747, -2148.62042894547
-15348.142786252036, -97739.4963313544
-27198.11318585786, -44070.90465696683
-25421.731782241543, -47793.68713808855
11811.676431041049, 34289.211607919606
41438.314000339444, -32687.64539222565
19661.837687937972, 21813.773413815245
5233.214212023065, 5103.907937904062
-39813.459741652376, 7495.529738064989
-1618.291078193305, -63945.398858778535
1166.8451258167065, -24244.090334019165
-61996.63481295928, -47275.34479366521
-68153.93159600144, -75777.69803686967
-32349.20473627508, -4736.035336098942
-13391.612577783148, -60165.445574590856
-2041.9859517283567, -8461.952809834656
-30919.39077733888, 27828.003691574835
10333.44093943073, 80188.5121412854
-31386.592738128023, 57408.79509840104
4472.555264031072, 42546.060070788066
-20382.027537195958, 18369.62143153656
28080.630563893115, 35794.81230842837
33320.56085321783, -21790.854224932365
-7794.635192967928, -30339.595748397198
-6664.052068416337, 15715.204728751462
33674.33636640444, 25590.44133487049
26029.268841458437, 3047.822803457077
40286.30272276881, 41480.015988412204
11309.753343273924, -17525.516718849045
-8496.940746189011, -2323.500811269533
2784.4005969479895, 3545.0332100681576
6700.296727343712, -15588.144625618022
-16431.94590461916, -24468.885782898313
5143.918361790923, -32734.441507553285
53033.263250113865, -37945.91700915111
29442.474625027222, 7342.68781257197
20034.604743327174, -29605.003007218747
12244.306462643071, 10226.453420265283
2302.2900279814894, 2635.4530289671975
-45916.01647705637, 24666.11292487336
-28044.848305754964, 10508.611081384213
-15554.069324690447, -11754.13751595921
-44087.13323088725, -8397.633341891316
-12836.217151304329, -8521.494399357827
8943.603846608112, -4234.73583817457
27255.27500303631, 20378.23903548511
43176.351301456605, 32473.96418211478
7138.795303360457, 20847.801894520704
20371.60677674691, 75378.26772155013
24051.75306575557, 49280.665196804366
12673.34321522722, -844.4632677636546
-39311.545666021164, -7846.464052804346
-16398.229129383326, 38853.6280710003
32287.705039161512, -9917.923229180044
48540.534683765494, -40145.00646001243
56793.59477089721, -26580.718332476506
8985.024031558998, -1761.3223597462238
53541.60981426762, -26795.103697047343
9196.356689718807, -28758.035892057367
-32592.33832813604, 5385.201455970001
-37310.56354476002, 22868.53516274067
-30353.55264779797, -7826.228771181839
-12147.218573081598, 61.99437834846685
-9813.95850046039, -21954.33667961012
24396.612949142105, -19910.905963349185
44378.949872084806, -12754.171919712284
70096.93098647431, -52468.5453841126
17792.531986899427, -16046.4821358429
21853.395979426772, 11010.989317411168
11773.675621015826, -5449.110733977288
-4906.53624889843, -36103.47124664972
-24656.1351357484, -6406.108823352619
-12206.833254692572, -17746.62435802776
-13427.474796734688, -17034.08245033576
-14322.382900609831, -39455.37307238358
18888.709551979682, -23359.402655533646
7791.22218378071, -32674.100864797685
15485.119368917336, 474.3724741357055
17169.080327587668, 17544.994101174172
19669.30487196633, -1113.068757455023
-17631.42791389091, -23182.036124209273
-20959.752031040563, -3197.867391640818
-6577.020858193038, 2512.4363913245456
-24464.739059450585, -20998.994499452292
-23597.9639555335, -25036.46245206273
-14783.469159169996, -30126.896079080867
5326.123980772978, -27661.0414745799
-18518.23549228422, -38507.03486112996
6100.272605680618, 10806.875793683155
-35995.544204166035, -11130.549239884096
-25418.200792585543, -14276.657033443811
-47459.89164675772, -15292.060135142725
-40605.82289475389, -12502.743230198053
-55908.5687575201, -9550.751121038847
-45070.02974866885, -12386.454419743488
-18907.39782300886, -3043.3898407053775
-22156.387671530785, -5178.300707886423
-32631.631063528464, 26721.007177819156
-5064.119690574695, 34936.54957439961
-817.6544528311806, 29706.453457308402
-19766.061541068848, 41775.69664181353
-11569.108746473163, 10709.344446167395
-9720.447917941146, 49935.633552312545
18249.182062604636, 30223.03192865609
-17714.041314281723, 17142.312964563702
12237.816575048235, 9704.104921991884
31600.22846401676, 42454.34264257307
19909.47400700843, 2631.3309765903614
1317.9955219949516, 31458.530621054437
-5834.4255813414675, 8174.788097699338
-4052.1613092946754, 28286.56419255219
-21269.89793976696, 31422.38825195895
19949.26196591457, 22109.57344979214
-17981.44080593303, 25394.19473939455
-760.8784084782455, 18001.701745442897
5560.392690704639, 31316.8712788155
38800.044982045496, 10156.292074249763
20001.41987691705, 45362.978312528576
7790.781566633323, 28282.616460608504
42154.4653929348, 41570.207225266975
39657.27901356143, 32887.99757839978
27810.760968343962, 26662.08890807527
27194.021564913022, -6716.351778152695
54076.282477918445, 8678.49521699662
40292.757473526784, -24272.679353386622
40273.54896393388, -13874.330830589975
61138.50456166202, -26312.89241003119
